Negara,Tahun,latitude,longitude,Safely managed-National,Disposed in situ-National,Emptied and treated-National,Wastewater treated-National,Latrines and other-National,Septic tanks-National,Sewer connections-National,Safely managed-Rural,Disposed in situ-Rural,Emptied and treated-Rural,Wastewater treated-Rural,Latrines and other-Rural,Septic tanks-Rural,Sewer connections-Rural,Safely managed-Urban,Disposed in situ-Urban,Emptied and treated-Urban,Wastewater treated-Urban,Latrines and other-Urban,Septic tanks-Urban,Sewer connections-Urban
Luxembourg,2020      ,49.815273,6.129583,97,0.5,0.5,96,0.5,2,98,89.00,5.00,5.00,80.00,0.50,19.00,81.00,97.00,0.50,0.50,97.00,0.50,0.50,100.00
Madagascar,2020      ,-18.766947,46.869107,10,10,0.5,0.5,25,6,1,8.00,8.00,0.50,0.50,20.00,1.00,0.50,14.00,14.00,0.50,0.50,33.00,14.00,2.00
Malawi,2020      ,-13.254308,34.301525,24,24,0.5,0.5,36,3,2,24.00,23.00,0.50,0.50,35.00,0.50,0.50,27.00,25.00,0.50,2.00,39.00,14.00,7.00
Malaysia,2020      ,4.210484,101.975766,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maldives,2020      ,3.202778,73.22068,0,0,0,0,1,33,66,0.00,0.00,0.00,0.00,2.00,55.00,42.00,0.00,0.00,0.00,0.00,0.50,0.50,100.00
Mali,2020      ,17.570692,-3.996166,20,20,0.5,0.5,58,4,1,28.00,28.00,0.50,0.50,44.00,0.50,0.50,10.00,9.00,0.50,0.50,75.00,8.00,3.00
Malta,2020      ,35.937496,14.375416,92,0.5,0.5,92,0.5,2,98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marshall Islands,2020      ,7.131474,171.184478,0,0,0,0,0.5,51,38,0.00,0.00,0.00,0.00,3.00,59.00,3.00,0.00,0.00,0.00,0.00,0.50,48.00,48.00
Martinique,2020      ,14.641528,-61.024174,0,0,0,0,1,52,46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mauritania,2020      ,21.00789,-10.940835,0,0,0,0,40,15,3,0.00,0.00,0.00,0.00,22.00,4.00,0.50,0.00,0.00,0.00,0.00,55.00,24.00,5.00
Mauritius,2020      ,-20.348404,57.552152,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,47.00,4.00,49.00
Mayotte,2020      ,-12.8275,45.166244,0,0,0,0,7,35,58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mexico,2020      ,23.634501,-102.552784,57,5,3,50,2,16,81,0.00,0.00,0.00,22.00,11.00,47.00,38.00,60.00,2.00,1.00,56.00,0.50,8.00,91.00
Monaco,2020      ,43.750298,7.412841,100,0.5,0.5,100,0.5,0,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.50,0.50,100.00,0.50,0.00,100.00
Mongolia,2020      ,46.862496,103.846656,56,46,0.5,10,64,0.5,25,49.00,47.00,0.50,2.00,66.00,0.50,4.00,59.00,45.00,0.50,13.00,63.00,0.50,34.00
Montenegro,2020      ,42.708678,19.37439,45,20,2,24,0.5,52,45,39.00,30.00,0.50,9.00,2.00,75.00,17.00,49.00,15.00,3.00,31.00,0.50,42.00,58.00
Montserrat,2020      ,16.742498,-62.187366,0,0,0,0,0.5,80,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Morocco,2020      ,31.791702,-7.09262,39,10,4,24,12,18,59,0.00,0.00,0.00,0.50,28.00,39.00,6.00,41.00,3.00,1.00,37.00,3.00,6.00,89.00
Mozambique,2020      ,-18.665695,35.529562,0,0,0,0,31,10,1,21.00,21.00,0.50,0.50,24.00,1.00,0.50,0.00,0.00,0.00,0.00,44.00,25.00,3.00
Myanmar,2020      ,21.913965,95.956223,61,60,0.5,0.5,62,22,0.5,64.00,64.00,0.50,0.50,68.00,13.00,0.50,53.00,52.00,0.50,0.50,49.00,42.00,2.00
Namibia,2020      ,-22.95764,18.49041,0,0,0,0,11,2,35,0.00,0.00,0.00,0.00,15.00,3.00,6.00,0.00,0.00,0.00,0.00,7.00,2.00,62.00
Nepal,2020      ,28.394857,84.124008,49,47,0.5,2,29,54,5,50.00,49.00,0.50,0.50,31.00,53.00,2.00,42.00,35.00,0.50,7.00,20.00,58.00,17.00
Netherlands,2020      ,52.132633,5.291266,97,0.5,0.5,97,0.5,0.5,100,97.00,1.00,1.00,95.00,0.50,5.00,95.00,97.00,0.50,0.50,97.00,0.50,0.50,100.00
New Caledonia,2020      ,-20.904305,165.618042,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
New Zealand,2020      ,-40.900557,174.885971,82,0.5,0.5,82,0.5,15,85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nicaragua,2020      ,12.865416,-85.207229,0,0,0,19,45,10,25,0.00,0.00,0.00,0.50,62.00,4.00,0.50,0.00,0.00,0.00,33.00,33.00,15.00,41.00
Niger,2020      ,17.607789,8.081666,16,16,0.5,0.5,19,5,0.5,11.00,11.00,0.50,0.50,12.00,1.00,0.50,43.00,42.00,0.50,0.50,55.00,24.00,3.00
Nigeria,2020      ,9.081999,8.675277,31,28,0.5,3,32,21,9,26.00,24.00,0.50,2.00,30.00,7.00,4.00,35.00,31.00,0.50,4.00,34.00,35.00,13.00
Niue,2020      ,-19.054445,-169.867233,0,0,0,0,0.5,96,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
North Macedonia,2020      ,41.608635,21.745275,12,5,0.5,7,7,11,81,18.00,12.00,1.00,4.00,17.00,27.00,54.00,8.00,0.50,0.50,8.00,0.50,0.50,100.00
Northern Mariana Islands,2020      ,17.33083,145.38469,0,0,0,0,0.5,44,54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Norway,2020      ,60.472024,8.468946,65,0.5,0.5,63,2,13,85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Oman,2020      ,21.512583,55.923255,0,0,0,21,2,76,21,0.00,0.00,0.00,2.00,6.00,92.00,2.00,0.00,0.00,0.00,24.00,2.00,74.00,24.00
